9011,9012,9013 
"0.1(R148,C1)","-0.1(R148,C2)","-0.1(R148,C3)","-0.1(R148,C4)","-0.1(R148,C5)","-0.1(R148,C6)","-0.1(R148,C7)","0.1(R148,C8)","0.1(R148,C9)","0.1(R148,C10)","0.1(R148,C11)","0.1(R148,C12)","0.1(R148,C13)","-0.1(R148,C14)","0.1(R148,C15)","0.1(R148,C16)","0.1(R148,C17)","0.1(R148,C18)","0.1(R148,C19)","0.1(R148,C20)","0.1(R148,C21)","0.1(R148,C22)","0.1(R148,C23)","0.1(R148,C24)","0.1(R148,C25)","0.1(R148,C26)","0.1(R148,C27)","-0.1(R148,C28)","0.1(R148,C29)","0.1(R148,C30)","-0.1(R148,C31)","0.1(R148,C32)","0.1(R148,C33)","0.1(R148,C34)","0.1(R148,C35)","0.1(R148,C36)","0.1(R148,C37)","0.1(R148,C38)","0.1(R148,C39)","0.1(R148,C40)","0.1(R148,C41)","0.1(R148,C42)","0.1(R148,C43)","0.1(R148,C44)","0.1(R148,C45)","-0.1(R148,C46)"
"0.1(R149,C1)","0.1(R149,C2)","0.1(R149,C3)","0.1(R149,C4)","0.1(R149,C5)","0.1(R149,C6)","0.1(R149,C7)","0.1(R149,C8)","0.1(R149,C9)","0.1(R149,C10)","0.1(R149,C11)","0.1(R149,C12)","0.1(R149,C13)","0.1(R149,C14)","0.1(R149,C15)","0.1(R149,C16)","0.1(R149,C17)","0.1(R149,C18)","0.1(R149,C19)","0.1(R149,C20)","0.1(R149,C21)","0.1(R149,C22)","0.1(R149,C23)","0.1(R149,C24)","0.1(R149,C25)","0.1(R149,C26)","0.1(R149,C27)","0.1(R149,C28)","-0.1(R149,C29)","0.1(R149,C30)","0.1(R149,C31)","0.1(R149,C32)","0.1(R149,C33)","0.1(R149,C34)","0.1(R149,C35)","0.1(R149,C36)","0.1(R149,C37)","0.1(R149,C38)","0.1(R149,C39)","0.1(R149,C40)","0.1(R149,C41)","0.1(R149,C42)","0.1(R149,C43)","0.1(R149,C44)","0.1(R149,C45)","0.1(R149,C46)"
"0.1(R150,C1)","-0.1(R150,C2)","-0.1(R150,C3)","-0.1(R150,C4)","-0.1(R150,C5)","-0.1(R150,C6)","-0.1(R150,C7)","0.1(R150,C8)","0.1(R150,C9)","0.1(R150,C10)","0.1(R150,C11)","0.1(R150,C12)","0.1(R150,C13)","-0.1(R150,C14)","0.1(R150,C15)","0.1(R150,C16)","0.1(R150,C17)","0.1(R150,C18)","0.1(R150,C19)","0.1(R150,C20)","0.1(R150,C21)","0.1(R150,C22)","0.1(R150,C23)","0.1(R150,C24)","0.1(R150,C25)","0.1(R150,C26)","0.1(R150,C27)","-0.1(R150,C28)","0.1(R150,C29)","0.1(R150,C30)","-0.1(R150,C31)","0.1(R150,C32)","0.1(R150,C33)","0.1(R150,C34)","0.1(R150,C35)","0.1(R150,C36)","0.1(R150,C37)","0.1(R150,C38)","0.1(R150,C39)","0.1(R150,C40)","0.1(R150,C41)","0.1(R150,C42)","0.1(R150,C43)","0.1(R150,C44)","0.1(R150,C45)","-0.1(R150,C46)"
"0.1(R151,C1)","0.1(R151,C2)","0.1(R151,C3)","0.1(R151,C4)","0.1(R151,C5)","0.1(R151,C6)","0.1(R151,C7)","0.1(R151,C8)","0.1(R151,C9)","0.1(R151,C10)","0.1(R151,C11)","0.1(R151,C12)","0.1(R151,C13)","0.1(R151,C14)","0.1(R151,C15)","0.1(R151,C16)","0.1(R151,C17)","0.1(R151,C18)","0.1(R151,C19)","0.1(R151,C20)","0.1(R151,C21)","0.1(R151,C22)","0.1(R151,C23)","0.1(R151,C24)","0.1(R151,C25)","0.1(R151,C26)","0.1(R151,C27)","0.1(R151,C28)","-0.1(R151,C29)","0.1(R151,C30)","0.1(R151,C31)","0.1(R151,C32)","0.1(R151,C33)","0.1(R151,C34)","0.1(R151,C35)","0.1(R151,C36)","0.1(R151,C37)","0.1(R151,C38)","0.1(R151,C39)","0.1(R151,C40)","0.1(R151,C41)","0.1(R151,C42)","0.1(R151,C43)","0.1(R151,C44)","0.1(R151,C45)","0.1(R151,C46)"
"0.1(R152,C1)","-0.1(R152,C2)","-0.1(R152,C3)","-0.1(R152,C4)","-0.1(R152,C5)","-0.1(R152,C6)","-0.1(R152,C7)","0.1(R152,C8)","0.1(R152,C9)","0.1(R152,C10)","0.1(R152,C11)","0.1(R152,C12)","0.1(R152,C13)","-0.1(R152,C14)","0.1(R152,C15)","0.1(R152,C16)","0.1(R152,C17)","0.1(R152,C18)","0.1(R152,C19)","0.1(R152,C20)","0.1(R152,C21)","0.1(R152,C22)","0.1(R152,C23)","0.1(R152,C24)","0.1(R152,C25)","0.1(R152,C26)","0.1(R152,C27)","-0.1(R152,C28)","0.1(R152,C29)","0.1(R152,C30)","-0.1(R152,C31)","0.1(R152,C32)","0.1(R152,C33)","0.1(R152,C34)","0.1(R152,C35)","0.1(R152,C36)","0.1(R152,C37)","0.1(R152,C38)","0.1(R152,C39)","0.1(R152,C40)","0.1(R152,C41)","0.1(R152,C42)","0.1(R152,C43)","0.1(R152,C44)","0.1(R152,C45)","-0.1(R152,C46)"
"0.1(R153,C1)","0.1(R153,C2)","0.1(R153,C3)","0.1(R153,C4)","0.1(R153,C5)","0.1(R153,C6)","0.1(R153,C7)","0.1(R153,C8)","0.1(R153,C9)","0.1(R153,C10)","0.1(R153,C11)","0.1(R153,C12)","0.1(R153,C13)","0.1(R153,C14)","0.1(R153,C15)","0.1(R153,C16)","0.1(R153,C17)","0.1(R153,C18)","0.1(R153,C19)","0.1(R153,C20)","0.1(R153,C21)","0.1(R153,C22)","0.1(R153,C23)","0.1(R153,C24)","0.1(R153,C25)","0.1(R153,C26)","0.1(R153,C27)","0.1(R153,C28)","-0.1(R153,C29)","0.1(R153,C30)","0.1(R153,C31)","0.1(R153,C32)","0.1(R153,C33)","0.1(R153,C34)","0.1(R153,C35)","0.1(R153,C36)","0.1(R153,C37)","0.1(R153,C38)","0.1(R153,C39)","0.1(R153,C40)","0.1(R153,C41)","0.1(R153,C42)","0.1(R153,C43)","0.1(R153,C44)","0.1(R153,C45)","0.1(R153,C46)"
"0.1(R154,C1)","-0.1(R154,C2)","-0.1(R154,C3)","-0.1(R154,C4)","-0.1(R154,C5)","-0.1(R154,C6)","-0.1(R154,C7)","0.1(R154,C8)","0.1(R154,C9)","0.1(R154,C10)","0.1(R154,C11)","0.1(R154,C12)","0.1(R154,C13)","-0.1(R154,C14)","0.1(R154,C15)","0.1(R154,C16)","0.1(R154,C17)","0.1(R154,C18)","0.1(R154,C19)","0.1(R154,C20)","0.1(R154,C21)","0.1(R154,C22)","0.1(R154,C23)","0.1(R154,C24)","0.1(R154,C25)","0.1(R154,C26)","0.1(R154,C27)","-0.1(R154,C28)","0.1(R154,C29)","0.1(R154,C30)","-0.1(R154,C31)","0.1(R154,C32)","0.1(R154,C33)","0.1(R154,C34)","0.1(R154,C35)","0.1(R154,C36)","0.1(R154,C37)","0.1(R154,C38)","0.1(R154,C39)","0.1(R154,C40)","0.1(R154,C41)","0.1(R154,C42)","0.1(R154,C43)","0.1(R154,C44)","0.1(R154,C45)","-0.1(R154,C46)"
"0.1(R155,C1)","0.1(R155,C2)","0.1(R155,C3)","0.1(R155,C4)","0.1(R155,C5)","0.1(R155,C6)","0.1(R155,C7)","0.1(R155,C8)","0.1(R155,C9)","0.1(R155,C10)","0.1(R155,C11)","0.1(R155,C12)","0.1(R155,C13)","0.1(R155,C14)","0.1(R155,C15)","0.1(R155,C16)","0.1(R155,C17)","0.1(R155,C18)","0.1(R155,C19)","0.1(R155,C20)","0.1(R155,C21)","0.1(R155,C22)","0.1(R155,C23)","0.1(R155,C24)","0.1(R155,C25)","0.1(R155,C26)","0.1(R155,C27)","0.1(R155,C28)","0.1(R155,C29)","0.1(R155,C30)","0.1(R155,C31)","0.1(R155,C32)","0.1(R155,C33)","0.1(R155,C34)","0.1(R155,C35)","0.1(R155,C36)","0.1(R155,C37)","0.1(R155,C38)","0.1(R155,C39)","0.1(R155,C40)","0.1(R155,C41)","0.1(R155,C42)","0.1(R155,C43)","0.1(R155,C44)","0.1(R155,C45)","-0.1(R155,C46)"
"0.1(R156,C1)","0.1(R156,C2)","0.1(R156,C3)","0.1(R156,C4)","0.1(R156,C5)","0.1(R156,C6)","0.1(R156,C7)","0.1(R156,C8)","0.1(R156,C9)","0.1(R156,C10)","0.1(R156,C11)","0.1(R156,C12)","0.1(R156,C13)","0.1(R156,C14)","0.1(R156,C15)","0.1(R156,C16)","0.1(R156,C17)","0.1(R156,C18)","0.1(R156,C19)","0.1(R156,C20)","0.1(R156,C21)","0.1(R156,C22)","0.1(R156,C23)","0.1(R156,C24)","0.1(R156,C25)","0.1(R156,C26)","0.1(R156,C27)","0.1(R156,C28)","0.1(R156,C29)","0.1(R156,C30)","0.1(R156,C31)","0.1(R156,C32)","0.1(R156,C33)","0.1(R156,C34)","0.1(R156,C35)","0.1(R156,C36)","0.1(R156,C37)","0.1(R156,C38)","0.1(R156,C39)","0.1(R156,C40)","0.1(R156,C41)","0.1(R156,C42)","0.1(R156,C43)","0.1(R156,C44)","0.1(R156,C45)","0.1(R156,C46)"
"0.1(R157,C1)","0.1(R157,C2)","0.1(R157,C3)","0.1(R157,C4)","0.1(R157,C5)","0.1(R157,C6)","0.1(R157,C7)","0.1(R157,C8)","0.1(R157,C9)","0.1(R157,C10)","0.1(R157,C11)","0.1(R157,C12)","0.1(R157,C13)","0.1(R157,C14)","0.1(R157,C15)","0.1(R157,C16)","0.1(R157,C17)","0.1(R157,C18)","0.1(R157,C19)","0.1(R157,C20)","0.1(R157,C21)","0.1(R157,C22)","0.1(R157,C23)","0.1(R157,C24)","0.1(R157,C25)","0.1(R157,C26)","0.1(R157,C27)","0.1(R157,C28)","0.1(R157,C29)","0.1(R157,C30)","0.1(R157,C31)","0.1(R157,C32)","0.1(R157,C33)","0.1(R157,C34)","0.1(R157,C35)","0.1(R157,C36)","0.1(R157,C37)","0.1(R157,C38)","0.1(R157,C39)","0.1(R157,C40)","0.1(R157,C41)","0.1(R157,C42)","0.1(R157,C43)","0.1(R157,C44)","0.1(R157,C45)","-0.1(R157,C46)"
"0.1(R158,C1)","0.1(R158,C2)","0.1(R158,C3)","0.1(R158,C4)","0.1(R158,C5)","0.1(R158,C6)","0.1(R158,C7)","0.1(R158,C8)","0.1(R158,C9)","0.1(R158,C10)","0.1(R158,C11)","0.1(R158,C12)","0.1(R158,C13)","0.1(R158,C14)","0.1(R158,C15)","0.1(R158,C16)","0.1(R158,C17)","0.1(R158,C18)","0.1(R158,C19)","0.1(R158,C20)","0.1(R158,C21)","0.1(R158,C22)","0.1(R158,C23)","0.1(R158,C24)","0.1(R158,C25)","0.1(R158,C26)","0.1(R158,C27)","0.1(R158,C28)","0.1(R158,C29)","0.1(R158,C30)","0.1(R158,C31)","0.1(R158,C32)","0.1(R158,C33)","0.1(R158,C34)","0.1(R158,C35)","0.1(R158,C36)","0.1(R158,C37)","0.1(R158,C38)","0.1(R158,C39)","0.1(R158,C40)","0.1(R158,C41)","0.1(R158,C42)","0.1(R158,C43)","0.1(R158,C44)","0.1(R158,C45)","0.1(R158,C46)"
"0.1(R159,C1)","0.1(R159,C2)","0.1(R159,C3)","0.1(R159,C4)","0.1(R159,C5)","0.1(R159,C6)","0.1(R159,C7)","0.1(R159,C8)","0.1(R159,C9)","0.1(R159,C10)","0.1(R159,C11)","0.1(R159,C12)","0.1(R159,C13)","0.1(R159,C14)","0.1(R159,C15)","0.1(R159,C16)","0.1(R159,C17)","0.1(R159,C18)","0.1(R159,C19)","0.1(R159,C20)","0.1(R159,C21)","0.1(R159,C22)","0.1(R159,C23)","0.1(R159,C24)","0.1(R159,C25)","0.1(R159,C26)","0.1(R159,C27)","0.1(R159,C28)","0.1(R159,C29)","0.1(R159,C30)","0.1(R159,C31)","0.1(R159,C32)","0.1(R159,C33)","0.1(R159,C34)","0.1(R159,C35)","0.1(R159,C36)","0.1(R159,C37)","0.1(R159,C38)","0.1(R159,C39)","0.1(R159,C40)","0.1(R159,C41)","0.1(R159,C42)","0.1(R159,C43)","0.1(R159,C44)","0.1(R159,C45)","-0.1(R159,C46)"
"0.1(R160,C1)","0.1(R160,C2)","0.1(R160,C3)","0.1(R160,C4)","0.1(R160,C5)","0.1(R160,C6)","0.1(R160,C7)","0.1(R160,C8)","0.1(R160,C9)","0.1(R160,C10)","0.1(R160,C11)","0.1(R160,C12)","0.1(R160,C13)","0.1(R160,C14)","0.1(R160,C15)","0.1(R160,C16)","0.1(R160,C17)","0.1(R160,C18)","0.1(R160,C19)","0.1(R160,C20)","0.1(R160,C21)","0.1(R160,C22)","0.1(R160,C23)","0.1(R160,C24)","0.1(R160,C25)","0.1(R160,C26)","0.1(R160,C27)","0.1(R160,C28)","0.1(R160,C29)","0.1(R160,C30)","0.1(R160,C31)","0.1(R160,C32)","0.1(R160,C33)","0.1(R160,C34)","0.1(R160,C35)","0.1(R160,C36)","0.1(R160,C37)","0.1(R160,C38)","0.1(R160,C39)","0.1(R160,C40)","0.1(R160,C41)","0.1(R160,C42)","0.1(R160,C43)","0.1(R160,C44)","0.1(R160,C45)","0.1(R160,C46)"
"0.1(R161,C1)","0.1(R161,C2)","0.1(R161,C3)","0.1(R161,C4)","0.1(R161,C5)","0.1(R161,C6)","0.1(R161,C7)","-0.1(R161,C8)","-0.1(R161,C9)","-0.1(R161,C10)","0.1(R161,C11)","0.1(R161,C12)","0.1(R161,C13)","0.1(R161,C14)","0.1(R161,C15)","0.1(R161,C16)","0.1(R161,C17)","0.1(R161,C18)","0.1(R161,C19)","0.1(R161,C20)","0.1(R161,C21)","0.1(R161,C22)","0.1(R161,C23)","0.1(R161,C24)","0.1(R161,C25)","0.1(R161,C26)","0.1(R161,C27)","0.1(R161,C28)","0.1(R161,C29)","0.1(R161,C30)","0.1(R161,C31)","0.1(R161,C32)","0.1(R161,C33)","0.1(R161,C34)","0.1(R161,C35)","0.1(R161,C36)","0.1(R161,C37)","0.1(R161,C38)","0.1(R161,C39)","0.1(R161,C40)","0.1(R161,C41)","-0.1(R161,C42)","0.1(R161,C43)","0.1(R161,C44)","0.1(R161,C45)","0.1(R161,C46)"
"0.1(R162,C1)","0.1(R162,C2)","0.1(R162,C3)","0.1(R162,C4)","0.1(R162,C5)","0.1(R162,C6)","0.1(R162,C7)","0.1(R162,C8)","0.1(R162,C9)","0.1(R162,C10)","0.1(R162,C11)","0.1(R162,C12)","0.1(R162,C13)","0.1(R162,C14)","0.1(R162,C15)","0.1(R162,C16)","0.1(R162,C17)","0.1(R162,C18)","0.1(R162,C19)","0.1(R162,C20)","0.1(R162,C21)","0.1(R162,C22)","0.1(R162,C23)","0.1(R162,C24)","0.1(R162,C25)","0.1(R162,C26)","0.1(R162,C27)","0.1(R162,C28)","0.1(R162,C29)","0.1(R162,C30)","0.1(R162,C31)","0.1(R162,C32)","0.1(R162,C33)","0.1(R162,C34)","0.1(R162,C35)","0.1(R162,C36)","0.1(R162,C37)","0.1(R162,C38)","0.1(R162,C39)","0.1(R162,C40)","0.1(R162,C41)","0.1(R162,C42)","0.1(R162,C43)","0.1(R162,C44)","0.1(R162,C45)","0.1(R162,C46)"
"0.1(R163,C1)","0.1(R163,C2)","0.1(R163,C3)","0.1(R163,C4)","0.1(R163,C5)","0.1(R163,C6)","0.1(R163,C7)","-0.1(R163,C8)","-0.1(R163,C9)","-0.1(R163,C10)","0.1(R163,C11)","0.1(R163,C12)","0.1(R163,C13)","0.1(R163,C14)","0.1(R163,C15)","0.1(R163,C16)","0.1(R163,C17)","0.1(R163,C18)","0.1(R163,C19)","0.1(R163,C20)","0.1(R163,C21)","0.1(R163,C22)","0.1(R163,C23)","0.1(R163,C24)","0.1(R163,C25)","0.1(R163,C26)","0.1(R163,C27)","0.1(R163,C28)","0.1(R163,C29)","0.1(R163,C30)","0.1(R163,C31)","0.1(R163,C32)","0.1(R163,C33)","0.1(R163,C34)","0.1(R163,C35)","0.1(R163,C36)","0.1(R163,C37)","0.1(R163,C38)","0.1(R163,C39)","0.1(R163,C40)","0.1(R163,C41)","-0.1(R163,C42)","0.1(R163,C43)","0.1(R163,C44)","0.1(R163,C45)","0.1(R163,C46)"
"0.1(R164,C1)","0.1(R164,C2)","0.1(R164,C3)","0.1(R164,C4)","0.1(R164,C5)","0.1(R164,C6)","0.1(R164,C7)","0.1(R164,C8)","0.1(R164,C9)","0.1(R164,C10)","0.1(R164,C11)","0.1(R164,C12)","0.1(R164,C13)","0.1(R164,C14)","0.1(R164,C15)","0.1(R164,C16)","0.1(R164,C17)","0.1(R164,C18)","0.1(R164,C19)","0.1(R164,C20)","0.1(R164,C21)","0.1(R164,C22)","0.1(R164,C23)","0.1(R164,C24)","0.1(R164,C25)","0.1(R164,C26)","0.1(R164,C27)","0.1(R164,C28)","0.1(R164,C29)","0.1(R164,C30)","0.1(R164,C31)","0.1(R164,C32)","0.1(R164,C33)","0.1(R164,C34)","0.1(R164,C35)","0.1(R164,C36)","0.1(R164,C37)","0.1(R164,C38)","0.1(R164,C39)","0.1(R164,C40)","0.1(R164,C41)","-0.25(R164,C42)","0.1(R164,C43)","0.1(R164,C44)","0.1(R164,C45)","0.1(R164,C46)"
"0.1(R165,C1)","0.1(R165,C2)","0.1(R165,C3)","0.1(R165,C4)","0.1(R165,C5)","0.1(R165,C6)","0.1(R165,C7)","-0.1(R165,C8)","-0.1(R165,C9)","-0.1(R165,C10)","0.1(R165,C11)","0.1(R165,C12)","0.1(R165,C13)","0.1(R165,C14)","0.1(R165,C15)","0.1(R165,C16)","0.1(R165,C17)","0.1(R165,C18)","0.1(R165,C19)","0.1(R165,C20)","0.1(R165,C21)","0.1(R165,C22)","0.1(R165,C23)","0.1(R165,C24)","0.1(R165,C25)","0.1(R165,C26)","0.1(R165,C27)","0.1(R165,C28)","0.1(R165,C29)","0.1(R165,C30)","0.1(R165,C31)","0.1(R165,C32)","0.1(R165,C33)","0.1(R165,C34)","0.1(R165,C35)","0.1(R165,C36)","0.1(R165,C37)","0.1(R165,C38)","0.1(R165,C39)","0.1(R165,C40)","0.1(R165,C41)","0.5(R165,C42)","0.1(R165,C43)","0.1(R165,C44)","0.1(R165,C45)","0.1(R165,C46)"
"0.1(R166,C1)","0.1(R166,C2)","0.1(R166,C3)","0.1(R166,C4)","0.1(R166,C5)","0.1(R166,C6)","0.1(R166,C7)","0.1(R166,C8)","0.1(R166,C9)","0.1(R166,C10)","0.1(R166,C11)","0.1(R166,C12)","0.1(R166,C13)","0.1(R166,C14)","0.1(R166,C15)","0.1(R166,C16)","0.1(R166,C17)","0.1(R166,C18)","0.1(R166,C19)","0.1(R166,C20)","0.1(R166,C21)","0.1(R166,C22)","0.1(R166,C23)","0.1(R166,C24)","0.1(R166,C25)","0.1(R166,C26)","0.1(R166,C27)","0.1(R166,C28)","0.1(R166,C29)","0.1(R166,C30)","0.1(R166,C31)","0.1(R166,C32)","0.1(R166,C33)","0.1(R166,C34)","0.1(R166,C35)","0.1(R166,C36)","0.1(R166,C37)","0.1(R166,C38)","0.1(R166,C39)","0.1(R166,C40)","0.1(R166,C41)","-0.25(R166,C42)","0.1(R166,C43)","0.1(R166,C44)","0.1(R166,C45)","0.1(R166,C46)"
"0.1(R167,C1)","0.1(R167,C2)","0.1(R167,C3)","0.1(R167,C4)","0.1(R167,C5)","0.1(R167,C6)","0.1(R167,C7)","-0.1(R167,C8)","-0.1(R167,C9)","-0.1(R167,C10)","0.1(R167,C11)","0.1(R167,C12)","0.1(R167,C13)","0.1(R167,C14)","0.1(R167,C15)","0.1(R167,C16)","0.1(R167,C17)","0.1(R167,C18)","0.1(R167,C19)","0.1(R167,C20)","0.1(R167,C21)","0.1(R167,C22)","0.1(R167,C23)","0.1(R167,C24)","0.1(R167,C25)","0.1(R167,C26)","0.1(R167,C27)","0.1(R167,C28)","0.1(R167,C29)","0.1(R167,C30)","0.1(R167,C31)","0.1(R167,C32)","0.1(R167,C33)","0.1(R167,C34)","0.1(R167,C35)","0.1(R167,C36)","0.1(R167,C37)","0.1(R167,C38)","0.1(R167,C39)","0.1(R167,C40)","0.1(R167,C41)","-0.1(R167,C42)","0.1(R167,C43)","0.1(R167,C44)","0.1(R167,C45)","0.1(R167,C46)"
"0.1(R168,C1)","0.1(R168,C2)","0.1(R168,C3)","0.1(R168,C4)","0.1(R168,C5)","0.1(R168,C6)","0.1(R168,C7)","0.1(R168,C8)","0.1(R168,C9)","0.1(R168,C10)","0.1(R168,C11)","0.1(R168,C12)","0.1(R168,C13)","0.1(R168,C14)","0.1(R168,C15)","0.1(R168,C16)","0.1(R168,C17)","0.1(R168,C18)","0.1(R168,C19)","0.1(R168,C20)","0.1(R168,C21)","0.1(R168,C22)","0.1(R168,C23)","0.1(R168,C24)","0.1(R168,C25)","0.1(R168,C26)","0.1(R168,C27)","0.1(R168,C28)","0.1(R168,C29)","0.1(R168,C30)","0.1(R168,C31)","0.1(R168,C32)","0.1(R168,C33)","0.1(R168,C34)","0.1(R168,C35)","0.1(R168,C36)","0.1(R168,C37)","0.1(R168,C38)","0.1(R168,C39)","0.1(R168,C40)","0.1(R168,C41)","0.1(R168,C42)","0.1(R168,C43)","0.1(R168,C44)","0.1(R168,C45)","0.1(R168,C46)"
"0.1(R169,C1)","0.1(R169,C2)","0.1(R169,C3)","0.1(R169,C4)","0.1(R169,C5)","0.1(R169,C6)","0.1(R169,C7)","0.1(R169,C8)","0.1(R169,C9)","0.1(R169,C10)","0.1(R169,C11)","0.1(R169,C12)","0.1(R169,C13)","0.1(R169,C14)","0.1(R169,C15)","0.1(R169,C16)","0.1(R169,C17)","0.1(R169,C18)","0.1(R169,C19)","0.1(R169,C20)","0.1(R169,C21)","0.1(R169,C22)","0.1(R169,C23)","0.1(R169,C24)","0.1(R169,C25)","0.1(R169,C26)","0.1(R169,C27)","0.1(R169,C28)","0.1(R169,C29)","0.1(R169,C30)","0.1(R169,C31)","0.1(R169,C32)","0.1(R169,C33)","0.1(R169,C34)","0.1(R169,C35)","0.1(R169,C36)","0.1(R169,C37)","0.1(R169,C38)","0.1(R169,C39)","0.1(R169,C40)","0.1(R169,C41)","0.3(R169,C42)","0.1(R169,C43)","0.1(R169,C44)","0.1(R169,C45)","0.1(R169,C46)"
"0.1(R170,C1)","0.1(R170,C2)","0.1(R170,C3)","0.1(R170,C4)","0.1(R170,C5)","0.1(R170,C6)","0.1(R170,C7)","0.1(R170,C8)","0.1(R170,C9)","0.1(R170,C10)","0.1(R170,C11)","0.1(R170,C12)","0.1(R170,C13)","0.1(R170,C14)","0.1(R170,C15)","0.1(R170,C16)","0.1(R170,C17)","0.1(R170,C18)","0.1(R170,C19)","0.1(R170,C20)","0.1(R170,C21)","0.1(R170,C22)","0.1(R170,C23)","0.1(R170,C24)","0.1(R170,C25)","0.1(R170,C26)","0.1(R170,C27)","0.1(R170,C28)","0.1(R170,C29)","0.1(R170,C30)","0.1(R170,C31)","0.1(R170,C32)","0.1(R170,C33)","0.1(R170,C34)","0.1(R170,C35)","0.1(R170,C36)","0.1(R170,C37)","0.1(R170,C38)","0.1(R170,C39)","0.1(R170,C40)","0.1(R170,C41)","-0.75(R170,C42)","0.1(R170,C43)","0.1(R170,C44)","0.1(R170,C45)","0.1(R170,C46)"
"0.1(R171,C1)","0.1(R171,C2)","0.1(R171,C3)","0.1(R171,C4)","0.1(R171,C5)","0.1(R171,C6)","0.1(R171,C7)","0.25(R171,C8)","0.25(R171,C9)","0.25(R171,C10)","0.1(R171,C11)","0.1(R171,C12)","0.1(R171,C13)","0.1(R171,C14)","0.1(R171,C15)","0.1(R171,C16)","0.1(R171,C17)","0.1(R171,C18)","0.1(R171,C19)","0.1(R171,C20)","0.1(R171,C21)","0.1(R171,C22)","0.1(R171,C23)","0.1(R171,C24)","0.1(R171,C25)","0.1(R171,C26)","0.1(R171,C27)","0.1(R171,C28)","0.1(R171,C29)","0.1(R171,C30)","0.1(R171,C31)","0.1(R171,C32)","0.1(R171,C33)","0.1(R171,C34)","0.1(R171,C35)","0.1(R171,C36)","0.1(R171,C37)","0.1(R171,C38)","0.1(R171,C39)","0.1(R171,C40)","0.1(R171,C41)","-0.5(R171,C42)","0.1(R171,C43)","0.1(R171,C44)","0.1(R171,C45)","0.1(R171,C46)"
"0.1(R172,C1)","0.1(R172,C2)","0.1(R172,C3)","0.1(R172,C4)","0.1(R172,C5)","0.1(R172,C6)","0.1(R172,C7)","-0.1(R172,C8)","-0.1(R172,C9)","-0.1(R172,C10)","0.1(R172,C11)","0.1(R172,C12)","0.1(R172,C13)","0.1(R172,C14)","0.1(R172,C15)","0.1(R172,C16)","0.1(R172,C17)","0.1(R172,C18)","0.1(R172,C19)","0.1(R172,C20)","0.1(R172,C21)","0.1(R172,C22)","0.1(R172,C23)","0.1(R172,C24)","0.1(R172,C25)","0.1(R172,C26)","0.1(R172,C27)","0.1(R172,C28)","0.1(R172,C29)","0.1(R172,C30)","0.1(R172,C31)","0.1(R172,C32)","0.1(R172,C33)","0.1(R172,C34)","0.1(R172,C35)","0.1(R172,C36)","0.1(R172,C37)","0.1(R172,C38)","0.1(R172,C39)","0.1(R172,C40)","0.1(R172,C41)","0.25(R172,C42)","0.1(R172,C43)","0.1(R172,C44)","0.1(R172,C45)","0.1(R172,C46)"
"0.1(R173,C1)","0.1(R173,C2)","0.1(R173,C3)","0.1(R173,C4)","0.1(R173,C5)","0.1(R173,C6)","0.1(R173,C7)","-0.1(R173,C8)","-0.1(R173,C9)","-0.1(R173,C10)","0.1(R173,C11)","0.1(R173,C12)","0.1(R173,C13)","0.1(R173,C14)","0.1(R173,C15)","0.1(R173,C16)","0.1(R173,C17)","0.1(R173,C18)","0.1(R173,C19)","0.1(R173,C20)","0.1(R173,C21)","0.1(R173,C22)","0.1(R173,C23)","0.1(R173,C24)","0.1(R173,C25)","0.1(R173,C26)","0.1(R173,C27)","0.1(R173,C28)","0.1(R173,C29)","0.1(R173,C30)","0.1(R173,C31)","0.1(R173,C32)","0.1(R173,C33)","0.1(R173,C34)","0.1(R173,C35)","0.1(R173,C36)","0.1(R173,C37)","0.1(R173,C38)","0.1(R173,C39)","0.1(R173,C40)","0.1(R173,C41)","0.75(R173,C42)","0.1(R173,C43)","0.1(R173,C44)","0.1(R173,C45)","0.1(R173,C46)"
"0.1(R174,C1)","0.1(R174,C2)","0.1(R174,C3)","0.1(R174,C4)","0.1(R174,C5)","0.1(R174,C6)","0.1(R174,C7)","-0.1(R174,C8)","-0.1(R174,C9)","-0.1(R174,C10)","0.1(R174,C11)","0.1(R174,C12)","0.1(R174,C13)","0.1(R174,C14)","0.1(R174,C15)","0.1(R174,C16)","0.1(R174,C17)","0.1(R174,C18)","0.1(R174,C19)","0.1(R174,C20)","0.1(R174,C21)","0.1(R174,C22)","0.1(R174,C23)","0.1(R174,C24)","0.1(R174,C25)","0.1(R174,C26)","0.1(R174,C27)","0.1(R174,C28)","0.1(R174,C29)","0.1(R174,C30)","0.1(R174,C31)","0.1(R174,C32)","0.1(R174,C33)","0.1(R174,C34)","0.1(R174,C35)","0.1(R174,C36)","0.1(R174,C37)","0.1(R174,C38)","0.1(R174,C39)","0.1(R174,C40)","0.1(R174,C41)","-0.25(R174,C42)","0.1(R174,C43)","0.1(R174,C44)","0.1(R174,C45)","0.1(R174,C46)"
